"","species","area.km2","status"
"378","Passiflora foetida",35937154.4074741,"NT"
"379","Passiflora mixta",847507.893742712,"NT"
"380","Passiflora lutea",2015043.10063434,"NT"
"381","Passiflora incarnata",2389214.10024862,"NT"
"382","Passiflora caerulea",10973140.5897705,"NT"
"383","Passiflora manicata",522218.55661114,"NT"
"384","Borrichia arborescens",5204688.65286229,"NT"
"385","Colubrina asiatica",8903758.94094056,"NT"
"386","Pittosporum undulatum",2595294.5437247,"NT"
"387","Psychotria nervosa",1950172.43824883,"NT"
"388","Galanthus nivalis",9530362.12336712,"NT"
"389","Arum cylindraceum",1450507.8168573,"NT"
"390","Veronica chamaedrys",17526430.4032347,"NT"
"391","Myrrhis odorata",11297654.4780939,"NT"
"392","Digitaria sanguinalis",1414421.4949498,"NT"
"393","Fatoua villosa",9702237.71353146,"NT"
"394","Tiarella trifoliata",1963981.36332237,"NT"
"395","Rubus parvifolius",4888897.49216154,"NT"
"396","Rubus parviflorus",3575373.15198349,"NT"
"397","Clintonia andrewsiana",83206.3682489626,"NT"
"398","Tellima grandiflora",3113312.46766642,"NT"
"399","Lupinus albifrons",443340.466789913,"NT"
"400","Polemonium caeruleum",18013709.1406376,"NT"
"401","Bidens frondosa",32347399.098013,"NT"
"402","Bidens aristosa",3057577.3693986,"NT"
"403","Baptisia bracteata",1913577.27855371,"NT"
"404","Myosotis arvensis",29885049.3448606,"NT"
"405","Physalis philadelphica",134347384.221915,"NT"
"406","Clarkia unguiculata",10030967.3571792,"NT"
"407","Impatiens parviflora",7087782.06806786,"NT"
"408","Solanum lycopersicum",25283893.3159645,"NT"
"409","Salvia officinalis",97312284.9508725,"NT"
"410","Aegopodium podagraria",27994714.6363598,"NT"
"411","Ulex europaeus",3960786.74992956,"NT"
"412","Brodiaea elegans",359946.043917695,"NT"
"413","Phormium tenax",9775800.78847348,"NT"
"414","Gaillardia pulchella",64915277.3846731,"NT"
"415","Sempervivum tectorum",15373156.4858161,"NT"
"416","Aquilegia vulgaris",28711561.7286164,"NT"
"417","Lysimachia punctata",16661743.1779619,"NT"
"418","Lysimachia nummularia",13742290.5145414,"NT"
"419","Laburnum anagyroides",6623677.83983598,"NT"
"420","Oenothera elata",25296229.8028702,"NT"
"421","Circaea lutetiana",4482691.28799427,"NT"
"422","Collinsia tinctoria",199040.126851572,"NT"
"423","Clarkia biloba",57065.8997980432,"NT"
"424","Clarkia concinna",132033.75891681,"NT"
"425","Delphinium californicum",80059.6174662075,"NT"
"426","Penstemon heterophyllus",387158.632778761,"NT"
"427","Lonicera caprifolium",7181533.70023746,"NT"
"428","Trifolium pratense",47144157.315507,"NT"
"429","Narthecium californicum",85156.7861765494,"NT"
"430","Urtica dioica",24079739.6445327,"NT"
"431","Dudleya farinosa",80275.8824283185,"NT"
"432","Antennaria dioica",20780998.5941218,"NT"
"433","Priva lappulacea",14340533.1605893,"NT"
"434","Mimosa bahamensis",778807.373976827,"NT"
"435","Mimosa pudica",45408965.1335867,"NT"
"436","Hamamelis virginiana",3601459.53822826,"NT"
"437","Physalis peruviana",126061969.421246,"NT"
"438","Richardia grandiflora",8134929.25909712,"NT"
"439","Toxicodendron pubescens",1623956.88555618,"NT"
"440","Streptanthus tortuosus",198684.901549322,"NT"
"441","Baccharis sarothroides",1578711.48537026,"NT"
"442","Carmichaelia petriei",200668.407913921,"NT"
"443","Krascheninnikovia lanata",3691629.36149001,"NT"
"444","Pterospora andromedea",3072846.59422932,"NT"
"445","Populus deltoides",11368300.0615215,"NT"
"446","Populus fremontii",4726400.33163799,"NT"
"447","Populus angustifolia",2149661.11595449,"NT"
"448","Phyllodoce breweri",82384.9879661739,"NT"
"449","Ipomopsis aggregata",2096237.27241742,"NT"
"450","Penstemon newberryi",163277.705968766,"NT"
"451","Linanthus pungens",1962962.69583411,"NT"
"452","Phlox condensata",1479669.75138082,"NT"
"453","Triteleia ixioides",259150.718867889,"NT"
"454","Cakile edentula",3248840.52804215,"NT"
"455","Ranunculus californicus",588177.201737613,"NT"
"456","Monardella villosa",411464.738976288,"NT"
"457","Ipomopsis tenuituba",1115445.95201055,"NT"
"458","Borago officinalis",71969204.6996048,"NT"
"459","Amaranthus cruentus",35879872.6717372,"NT"
"460","Amaranthus blitum",236467938.657196,"NT"
"461","Ipomoea purpurea",104309994.406931,"NT"
"462","Senna septemtrionalis",6118660.08368021,"NT"
"463","Senna alexandrina",22369495.0172647,"NT"
"464","Gomphocarpus fruticosus",7817925.2528376,"NT"
"465","Pavonia hastata",4044391.1107382,"NT"
"466","Lilium formosanum",6690890.08880463,"NT"
"467","Cercocarpus montanus",1630952.47083817,"NT"
"468","Dacrydium cupressinum",395905.636718051,"NT"
"469","Pinus resinosa",6116999.89075864,"NT"
"470","Callitris endlicheri",930116.417319743,"NT"
"471","Callitris columellaris",400831.775716265,"NT"
"472","Dacrycarpus dacrydioides",436865.877345701,"NT"
"473","Pinus strobus",5311048.05410895,"NT"
"474","Pinus koraiensis",2759038.01256035,"NT"
"475","Trimezia martinicensis",17429314.4056787,"NT"
"476","Linaria maroccana",77182752.3572271,"NT"
"477","Enterolobium cyclocarpum",10322483.4439648,"NT"
"478","Schizolobium parahyba",16564785.7444383,"NT"
"479","Acacia auriculiformis",23727457.9282111,"NT"
"480","Enterolobium contortisiliquum",5886370.38725434,"NT"
"481","Philadelphus coronarius",21616537.9196201,"NT"
"482","Vicia cracca",47637572.2351368,"NT"
